meas_id,cmp_type,cmp_id,meas_type,meas_var,phase,dst,val,sigma
1,gen,1,G,pg,"[1, 2, 3]",Normal,"[0.0170353, 0.0152259, 0.0166196]","[1.0e-7, 1.0e-7, 1.0e-7]"
2,gen,1,G,qg,"[1, 2, 3]",Normal,"[0.00616565, 0.00560098, 0.00431631]","[1.0e-7, 1.0e-7, 1.0e-7]"
3,load,32,G,pd,1,Normal,0.000229,1.0e-7
4,load,32,G,qd,1,Normal,7.526866008595967e-5,1.0e-7
5,load,29,G,pd,3,Normal,0.00023200000000000003,1.0e-7
6,load,29,G,qd,3,Normal,7.625471240149627e-5,1.0e-7
7,load,1,G,pd,1,Normal,0.000701,1.0e-7
8,load,1,G,qd,1,Normal,0.0002304075577303831,1.0e-7
9,load,54,G,pd,1,Normal,0.004888,1.0e-7
10,load,54,G,qd,1,Normal,0.0016066079061142833,1.0e-7
11,load,2,G,pd,3,Normal,0.009584,1.0e-7
12,load,2,G,qd,3,Normal,0.0031501084640342247,1.0e-7
13,load,41,G,pd,3,Normal,0.0005340000000000001,1.0e-7
14,load,41,G,qd,3,Normal,0.00017551731216551298,1.0e-7
15,load,51,G,pd,3,Normal,0.00021,1.0e-7
16,load,51,G,qd,3,Normal,6.902366208756128e-5,1.0e-7
17,load,53,G,pd,2,Normal,0.005471,1.0e-7
18,load,53,G,qd,2,Normal,0.0017982307394335607,1.0e-7
19,load,27,G,pd,1,Normal,0.00044500000000000003,1.0e-7
20,load,27,G,qd,1,Normal,0.00014626442680459412,1.0e-7
21,load,42,G,pd,2,Normal,0.000648,1.0e-7
22,load,42,G,qd,2,Normal,0.00021298730015590337,1.0e-7
23,load,33,G,pd,1,Normal,0.000435,1.0e-7
24,load,33,G,qd,1,Normal,0.0001429775857528055,1.0e-7
25,load,28,G,pd,3,Normal,0.000878,1.0e-7
26,load,28,G,qd,3,Normal,0.0002885846443470419,1.0e-7
27,load,52,G,pd,1,Normal,0.00028599999999999996,1.0e-7
28,load,52,G,qd,1,Normal,9.400365408115487e-5,1.0e-7
29,load,50,G,pd,2,Normal,0.00032500000000000004,1.0e-7
30,load,50,G,qd,2,Normal,0.00010682233418313055,1.0e-7
31,load,26,G,pd,1,Normal,0.003247,1.0e-7
32,load,26,G,qd,1,Normal,0.0010672372895157687,1.0e-7
33,load,10,G,pd,3,Normal,0.000424,1.0e-7
34,load,10,G,qd,3,Normal,0.000139362060595838,1.0e-7
35,load,24,G,pd,3,Normal,0.000204,1.0e-7
36,load,24,G,qd,3,Normal,6.70515574564881e-5,1.0e-7
37,load,25,G,pd,3,Normal,0.000514,1.0e-7
38,load,25,G,qd,3,Normal,0.0001689436300619357,1.0e-7
39,load,23,G,pd,2,Normal,0.000223,1.0e-7
40,load,23,G,qd,2,Normal,7.329655545488651e-5,1.0e-7
41,load,49,G,pd,3,Normal,4.8e-5,1.0e-7
42,load,49,G,qd,3,Normal,1.5776837048585433e-5,1.0e-7
43,load,31,G,pd,1,Normal,4.6e-5,1.0e-7
44,load,31,G,qd,1,Normal,1.5119468838227707e-5,1.0e-7
45,load,5,G,pd,3,Normal,0.00055,1.0e-7
46,load,5,G,qd,3,Normal,0.0001807762578483748,1.0e-7
47,load,43,G,pd,2,Normal,0.000769,1.0e-7
48,load,43,G,qd,2,Normal,0.0002527580768825458,1.0e-7
49,load,39,G,pd,1,Normal,0.000171,1.0e-7
50,load,39,G,qd,1,Normal,5.620498198558561e-5,1.0e-7
51,load,44,G,pd,2,Normal,0.000448,1.0e-7
52,load,44,G,qd,2,Normal,0.00014725047912013072,1.0e-7
53,load,34,G,pd,2,Normal,5.7e-5,1.0e-7
54,load,34,G,qd,2,Normal,1.8734993995195202e-5,1.0e-7
55,load,55,G,pd,3,Normal,0.00055,1.0e-7
56,load,55,G,qd,3,Normal,0.0001807762578483748,1.0e-7
57,load,17,G,pd,2,Normal,2.9000000000000004e-5,1.0e-7
58,load,17,G,qd,2,Normal,9.531839050187033e-6,1.0e-7
59,load,37,G,pd,1,Normal,0.000219,1.0e-7
60,load,37,G,qd,1,Normal,7.198181903417104e-5,1.0e-7
61,load,47,G,pd,1,Normal,0.000601,1.0e-7
62,load,47,G,qd,1,Normal,0.00019753914721249677,1.0e-7
63,load,9,G,pd,1,Normal,0.00038700000000000003,1.0e-7
64,load,9,G,qd,1,Normal,0.00012720074870422007,1.0e-7
65,load,12,G,pd,1,Normal,0.000313,1.0e-7
66,load,12,G,qd,1,Normal,0.00010287812492098419,1.0e-7
67,load,20,G,pd,1,Normal,0.004372,1.0e-7
68,load,20,G,qd,1,Normal,0.0014370069078419897,1.0e-7
69,load,6,G,pd,3,Normal,2.8e-5,1.0e-7
70,load,6,G,qd,3,Normal,9.20315494500817e-6,1.0e-7
71,load,14,G,pd,2,Normal,0.000347,1.0e-7
72,load,14,G,qd,2,Normal,0.00011405338449706552,1.0e-7
73,load,7,G,pd,1,Normal,0.000465,1.0e-7
74,load,7,G,qd,1,Normal,0.0001528381089081714,1.0e-7
75,load,8,G,pd,1,Normal,0.00048499999999999997,1.0e-7
76,load,8,G,qd,1,Normal,0.00015941179101174865,1.0e-7
77,load,19,G,pd,3,Normal,0.00014199999999999998,1.0e-7
78,load,19,G,qd,3,Normal,4.6673142935398576e-5,1.0e-7
79,load,4,G,pd,3,Normal,4.4999999999999996e-5,1.0e-7
80,load,4,G,qd,3,Normal,1.4790784733048844e-5,1.0e-7
81,load,22,G,pd,2,Normal,0.002606,1.0e-7
82,load,22,G,qd,2,Normal,0.0008565507780961175,1.0e-7
83,load,11,G,pd,2,Normal,0.000277,1.0e-7
84,load,11,G,qd,2,Normal,9.104549713454511e-5,1.0e-7
85,load,35,G,pd,1,Normal,0.000256,1.0e-7
86,load,35,G,qd,1,Normal,8.414313092578898e-5,1.0e-7
87,load,13,G,pd,2,Normal,0.000216,1.0e-7
88,load,13,G,qd,2,Normal,7.099576671863444e-5,1.0e-7
89,load,15,G,pd,1,Normal,5.4e-5,1.0e-7
90,load,15,G,qd,1,Normal,1.774894167965861e-5,1.0e-7
91,load,16,G,pd,1,Normal,5.3e-5,1.0e-7
92,load,16,G,qd,1,Normal,1.742025757447975e-5,1.0e-7
93,load,40,G,pd,2,Normal,4.2999999999999995e-5,1.0e-7
94,load,40,G,qd,2,Normal,1.4133416522691118e-5,1.0e-7
95,load,46,G,pd,2,Normal,0.000208,1.0e-7
96,load,46,G,qd,2,Normal,6.836629387720354e-5,1.0e-7
97,load,38,G,pd,1,Normal,3.5000000000000004e-5,1.0e-7
98,load,38,G,qd,1,Normal,1.1503943681260215e-5,1.0e-7
99,load,21,G,pd,3,Normal,0.00024,1.0e-7
100,load,21,G,qd,3,Normal,7.888418524292716e-5,1.0e-7
101,load,45,G,pd,2,Normal,0.000528,1.0e-7
102,load,45,G,qd,2,Normal,0.0001735452075344398,1.0e-7
103,load,36,G,pd,2,Normal,0.000266,1.0e-7
104,load,36,G,qd,2,Normal,8.742997197757761e-5,1.0e-7
105,load,48,G,pd,1,Normal,5.4e-5,1.0e-7
106,load,48,G,qd,1,Normal,1.774894167965861e-5,1.0e-7
107,load,18,G,pd,2,Normal,0.0005600000000000001,1.0e-7
108,load,18,G,qd,2,Normal,0.00018406309890016344,1.0e-7
109,load,30,G,pd,2,Normal,0.002415,1.0e-7
110,load,30,G,qd,2,Normal,0.0007937721140069547,1.0e-7
111,load,3,G,pd,2,Normal,0.000694,1.0e-7
112,load,3,G,qd,2,Normal,0.00022810676899413104,1.0e-7
113,bus,157,G,vm,"[1, 2, 3]",Normal,"[1.0324138712965318, 1.0313760539563728, 1.0397597190713666]","[1.0e-7, 1.0e-7, 1.0e-7]"
114,bus,287,G,vm,"[1, 2, 3]",Normal,"[1.0349018327346997, 1.0366994947263461, 1.038546398514832]","[1.0e-7, 1.0e-7, 1.0e-7]"
115,bus,172,G,vm,"[1, 2, 3]",Normal,"[1.0312025259319206, 1.0376713867610101, 1.031774259384015]","[1.0e-7, 1.0e-7, 1.0e-7]"
116,bus,756,G,vm,"[1, 2, 3]",Normal,"[1.0357743226398164, 1.0396413793045507, 1.0422442951373743]","[1.0e-7, 1.0e-7, 1.0e-7]"
